,text,_score,_pvalue
381,chấm,1.1610044975581162,0.2812573138749544
1300,nhận_xét,1.1610044975581162,0.2812573138749544
753,hình_ảnh,1.1852523684937517,0.27628930586201494
1871,tặng,1.2120266644211573,0.27093111731500974
1491,rõ_ràng,1.2135138598297688,0.27063732585819134
729,hy_vọng,1.2205683350888674,0.2692491448668556
176,android,1.2286288958453677,0.2676738509680872
1071,miếng,1.2286288958453677,0.2676738509680872
1026,lớn,1.2286288958453677,0.2676738509680872
474,cường_lực,1.299884991586732,0.25423423227983566
336,chu_đáo,1.3460319048327918,0.24597302427485035
2236,ảnh,1.3608944052174698,0.2433825335086814
864,khách_hàng,1.362198943133993,0.2431567488482097
1379,phim,1.4015105506747316,0.23647081891230265
2041,xước,1.451295970359963,0.22832011690985307
237,bình_thường,1.4646820021066398,0.22618663199853714
406,chỗ,1.4646820021066398,0.22618663199853714
1763,trâu,1.4652793907334556,0.226091978961191
137,86,1.480337279222502,0.22372175929754104
1915,uy,1.480337279222502,0.22372175929754104
711,hoang_mang,1.480337279222502,0.22372175929754104
1443,que,1.480337279222502,0.22372175929754104
669,gấp,1.480337279222502,0.22372175929754104
1302,nhật,1.480337279222502,0.22372175929754104
519,cứng_cáp,1.480337279222502,0.22372175929754104
305,canh,1.480337279222502,0.22372175929754104
1421,phục,1.480337279222502,0.22372175929754104
1172,mềm,1.480337279222502,0.22372175929754104
877,khắc_phục,1.480337279222502,0.22372175929754104
687,hcm,1.480337279222502,0.22372175929754104
847,kh,1.480337279222502,0.22372175929754104
1038,lựa_chọn,1.480337279222502,0.22372175929754104
1452,quên,1.480337279222502,0.22372175929754104
1182,mỗi_tội,1.480337279222502,0.22372175929754104
1685,thắc_mắc,1.480337279222502,0.22372175929754104
1659,thân,1.480337279222502,0.22372175929754104
1619,tg,1.480337279222502,0.22372175929754104
2047,xốp,1.480337279222502,0.22372175929754104
1189,mới_toanh,1.480337279222502,0.22372175929754104
394,chế_độ,1.4955994490583422,0.2213497020173881
1899,tự_tin,1.51189749847468,0.21884977311074347
1643,thoai,1.51189749847468,0.21884977311074347
1813,tv,1.51189749847468,0.21884977311074347
2141,đáp_ứng,1.51189749847468,0.21884977311074347
1623,tham_khảo,1.51189749847468,0.21884977311074347
2145,đòi,1.51189749847468,0.21884977311074347
1771,trùng,1.51189749847468,0.21884977311074347
1977,vệt,1.51189749847468,0.21884977311074347
433,cua,1.51189749847468,0.21884977311074347
1817,tàu,1.51189749847468,0.21884977311074347
60,2tr8,1.51189749847468,0.21884977311074347
319,che,1.51189749847468,0.21884977311074347
1964,vạch,1.51189749847468,0.21884977311074347
135,84,1.51189749847468,0.21884977311074347
411,chục,1.51189749847468,0.21884977311074347
221,bà_con,1.51189749847468,0.21884977311074347
77,3utool,1.51189749847468,0.21884977311074347
1671,thông_thường,1.51189749847468,0.21884977311074347
2096,ý_kiến,1.51189749847468,0.21884977311074347
1893,tờ,1.51189749847468,0.21884977311074347
